Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2022-01-03 00:00:00-05:00,325.08618926668373,327.6550767028216,319.6866591570619,324.5045471191406,28865100,0.0,0.0,MSFT
2022-01-04 00:00:00-05:00,324.5821267708263,324.94082734218637,316.1387146989663,318.9402770996094,32674300,0.0,0.0,MSFT
2022-01-05 00:00:00-05:00,315.8866733646423,316.09026737820085,306.3090867462832,306.69683837890625,40054300,0.0,0.0,MSFT
2022-01-06 00:00:00-05:00,303.5657082342745,308.9458623840181,301.95651073409414,304.27337646484375,39646100,0.0,0.0,MSFT
2022-01-07 00:00:00-05:00,304.53514698165617,306.8132290063139,300.59940934908144,304.42852783203125,32720000,0.0,0.0,MSFT
2022-01-10 00:00:00-05:00,300.0176962380316,305.08763677546057,295.36461754386573,304.6513977050781,44289500,0.0,0.0,MSFT
2022-01-11 00:00:00-05:00,303.7885943316387,306.91971696560233,300.4054198756666,305.3396301269531,29386800,0.0,0.0,MSFT
2022-01-12 00:00:00-05:00,309.8861668515591,313.5116906389341,307.37541056986225,308.52899169921875,34372200,0.0,0.0,MSFT
2022-01-13 00:00:00-05:00,310.6616038809037,311.0590588526102,294.6956882705363,295.47119140625,45366000,0.0,0.0,MSFT
2022-01-14 00:00:00-05:00,294.9381181604768,301.3070437036342,294.45342117089507,300.7060241699219,39846400,0.0,0.0,MSFT
2022-01-18 00:00:00-05:00,294.7635761210545,300.31818359101004,292.50487202896295,293.38702392578125,42333200,0.0,0.0,MSFT
2022-01-19 00:00:00-05:00,296.91566133072115,304.3024380013182,293.4355408334725,294.0462341308594,45933900,0.0,0.0,MSFT
2022-01-20 00:00:00-05:00,299.6105751651282,302.11159837189933,291.9232887564094,292.36920166015625,35380700,0.0,0.0,MSFT
2022-01-21 00:00:00-05:00,293.425925849963,294.8024490147292,286.5625985089052,286.9697570800781,57984400,0.0,0.0,MSFT
2022-01-24 00:00:00-05:00,283.2568995161282,288.0165973652918,267.60116491131276,287.29925537109375,85731500,0.0,0.0,MSFT
2022-01-25 00:00:00-05:00,282.5977548567711,285.9615535370563,276.44212604362275,279.6604919433594,72848600,0.0,0.0,MSFT
2022-01-26 00:00:00-05:00,298.5636068216338,299.0580071592012,284.06148289400227,287.62884521484375,90428900,0.0,0.0,MSFT
2022-01-27 00:00:00-05:00,293.39681485187197,297.8947879850422,288.8115702182522,290.6631164550781,53481300,0.0,0.0,MSFT
2022-01-28 00:00:00-05:00,291.04108700005406,299.03858518440376,285.43799248575465,298.8253173828125,49743700,0.0,0.0,MSFT
2022-01-31 00:00:00-05:00,299.49419860201147,302.8192119279714,296.9931462628892,301.4620666503906,46444500,0.0,0.0,MSFT
2022-02-01 00:00:00-05:00,300.90955255092064,301.1228203841136,295.7911541378428,299.31005859375,40950400,0.0,0.0,MSFT
2022-02-02 00:00:00-05:00,300.15338493833775,305.47534704194504,299.4263396418428,303.86614990234375,36636000,0.0,0.0,MSFT
2022-02-03 00:00:00-05:00,300.01767200268654,301.7044372994963,290.77935044731777,292.0298767089844,43730000,0.0,0.0,MSFT
2022-02-04 00:00:00-05:00,291.0217475506449,299.34883797688286,290.78910247089794,296.5763854980469,35096500,0.0,0.0,MSFT
2022-02-07 00:00:00-05:00,296.7993425518359,298.41821379352973,290.72122388231634,291.7391052246094,28533300,0.0,0.0,MSFT
2022-02-08 00:00:00-05:00,292.02989517247903,296.20798026867743,290.7696950101349,295.23858642578125,32421200,0.0,0.0,MSFT
2022-02-09 00:00:00-05:00,300.3860439692402,302.38299277668517,297.9819663435666,301.6850280761719,31284700,0.0,0.0,MSFT
2022-02-10 00:00:00-05:00,294.7345331364793,299.6590411901458,291.496761022089,293.1253356933594,45386200,0.0,0.0,MSFT
2022-02-11 00:00:00-05:00,293.9105334701713,294.9768726571542,285.2150691647002,286.0099792480469,39175600,0.0,0.0,MSFT
2022-02-14 00:00:00-05:00,284.7788566874214,287.6773647823829,282.4329398404649,285.9712219238281,36359500,0.0,0.0,MSFT
2022-02-15 00:00:00-05:00,290.82782983198604,291.5936295980899,287.9293223884428,291.27374267578125,27058300,0.0,0.0,MSFT
2022-02-16 00:00:00-05:00,289.83612248855013,292.2646183764721,285.2802618312306,290.9338073730469,29982100,0.62,0.0,MSFT
